DriverName,Laps,S1,S2,S3,Lap Time,Predicted Lap Time,Lap Delta,Pit Stop,AnomalyFlag
Will Robusto,1,64.887,38.802,32.702,136.391,137.66683973914783,,True,False
Will Robusto,2,35.453,35.221,32.244,102.918,102.50604546612736,-33.472999999999985,True,False
Will Robusto,3,35.298,35.843,32.095,103.23599999999999,103.11962362594696,0.31799999999998363,True,False
Will Robusto,4,34.732,34.621,31.918,101.271,101.35876288516765,-1.9649999999999892,True,False
Will Robusto,5,34.913,35.315,31.815,102.043,102.27780435419201,0.7720000000000056,True,False
Will Robusto,6,35.798,34.743,31.814,102.35499999999999,101.60400333731265,0.3119999999999834,True,False
Will Robusto,7,34.734,34.65,31.975,101.35900000000001,101.37018201095383,-0.9959999999999809,True,False
Will Robusto,8,34.502,34.813,31.705,101.02000000000001,101.51960826756105,-0.33899999999999864,True,False
Will Robusto,9,34.518,34.781,31.894,101.193,101.504960466279,0.1729999999999876,True,False
Will Robusto,10,34.745,34.459,31.843,101.047,101.31353320242886,-0.1460000000000008,True,False
Will Robusto,11,35.031,34.57,31.864,101.465,101.38016944357676,0.41800000000000637,True,False
Will Robusto,12,34.609,34.959,31.982,101.55,101.67436237840982,0.08499999999999375,True,False
Will Robusto,13,34.484,34.538,31.828,100.85,101.32069340495522,-0.7000000000000028,True,False
Will Robusto,14,34.522,34.527,31.658,100.707,101.32069340495522,-0.14300000000000068,True,False
Will Robusto,15,34.649,34.553,31.973,101.175,101.3307781363873,0.4680000000000035,True,False
Will Robusto,16,34.555,35.693,31.747,101.995,102.91145845819239,0.8200000000000074,True,False
Will Robusto,17,34.877,34.558,31.598,101.033,101.33365291754819,-0.9620000000000033,True,False
Will Robusto,18,34.458,34.43,31.739,100.62700000000001,101.31353320242886,-0.4059999999999917,True,False
Jason Kos,1,66.118,41.748,36.339,144.20499999999998,146.1992464018852,,True,False
Jason Kos,2,35.681,35.459,32.451,103.59100000000001,103.09634224101507,-40.613999999999976,True,False
